Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Returns
04-01-2016,656.29,657.715,627.51,636.99,9314519,0,1,656.29,657.715,627.51,636.99,9314519,-0.005023627
05-01-2016,646.86,646.91,627.65,633.79,5822603,0,1,646.86,646.91,627.65,633.79,5822603,-0.001798703
06-01-2016,622,639.79,620.31,632.65,5329197,0,1,622,639.79,620.31,632.65,5329197,-0.039057931
07-01-2016,621.8,630,605.21,607.94,7074915,0,1,621.8,630,605.21,607.94,7074915,-0.00146396
08-01-2016,619.66,624.14,606,607.05,5512915,0,1,619.66,624.14,606,607.05,5512915,0.017609752
11-01-2016,612.48,619.85,598.57,617.74,4891551,0,1,612.48,619.85,598.57,617.74,4891551,0.000242821
12-01-2016,625.25,625.99,612.2415,617.89,4724100,0,1,625.25,625.99,612.2415,617.89,4724100,-0.05839227
13-01-2016,620.88,620.88,579.16,581.81,7655239,0,1,620.88,620.88,579.16,581.81,7655239,0.019233083
14-01-2016,580.25,602.25,569.88,593,7237978,0,1,580.25,602.25,569.88,593,7237978,-0.038482293
15-01-2016,572.24,584.62,565.3,570.18,7784523,0,1,572.24,584.62,565.3,570.18,7784523,0.007541478
19-01-2016,577.09,584,566.45,574.48,4807165,0,1,577.09,584,566.45,574.48,4807165,-0.00471731
20-01-2016,564.36,578.45,547.18,571.77,7966406,0,1,564.36,578.45,547.18,571.77,7966406,0.005684104
21-01-2016,573.58,588.81,568.22,575.02,4952217,0,1,573.58,588.81,568.22,575.02,4952217,0.037146534
22-01-2016,588.73,600.1,584.1079,596.38,5120144,0,1,588.73,600.1,584.1079,596.38,5120144,0.000251517
25-01-2016,597.99,608.5,594.56,596.53,4396079,0,1,597.99,608.5,594.56,596.53,4396079,0.007912427
26-01-2016,603.45,604.5,590.38,601.25,3765655,0,1,603.45,604.5,590.38,601.25,3765655,-0.02977131
27-01-2016,601.99,603.39,578.78,583.35,5152853,0,1,601.99,603.39,578.78,583.35,5152853,0.08914031
28-01-2016,608.37,638.06,597.55,635.35,14015171,0,1,608.37,638.06,597.55,635.35,14015171,-0.076099788
29-01-2016,571.98,593,570,587,14677550,0,1,571.98,593,570,587,14677550,-0.02076661
01-02-2016,578.15,581.8,570.31,574.81,6355123,0,1,578.15,581.8,570.31,574.81,6355123,-0.039508707
02-02-2016,570,571.56,550.09,552.1,6312045,0,1,570,571.56,550.09,552.1,6312045,-0.038090926
03-02-2016,553.5,556,521.9,531.07,10048709,0,1,553.5,556,521.9,531.07,10048709,0.009772723
04-02-2016,525,538.99,519.2201,536.26,6199070,0,1,525,538.99,519.2201,536.26,6199070,-0.063644501
05-02-2016,529.28,529.45,499.19,502.13,9708929,0,1,529.28,529.45,499.19,502.13,9708929,-0.027940971
08-02-2016,486.47,493.5,475.21,488.1,9825509,0,1,486.47,493.5,475.21,488.1,9825509,-0.012354026
09-02-2016,478.01,498.38,474,482.07,7077915,0,1,478.01,498.38,474,482.07,7077915,0.017445599
10-02-2016,491.76,504.66,486,490.48,6786181,0,1,491.76,504.66,486,490.48,6786181,0.027197847
11-02-2016,491.17,509.3,484,503.82,7397393,0,1,491.17,509.3,484,503.82,7397393,0.006470565
12-02-2016,510.7,516.75,501.4932,507.08,5384787,0,1,510.7,516.75,501.4932,507.08,5384787,0.027648497
16-02-2016,519.48,524.45,511.66,521.1,5118500,0,1,519.48,524.45,511.66,521.1,5118500,0.024947227
17-02-2016,528.74,537.48,519.39,534.1,4824002,0,1,528.74,537.48,519.39,534.1,4824002,-0.017038008
18-02-2016,541.19,541.2,523.73,525,4735008,0,1,541.19,541.2,523.73,525,4735008,0.018857143
19-02-2016,520.71,535.95,515.35,534.9,4974717,0,1,520.71,535.95,515.35,534.9,4974717,0.045989905
22-02-2016,542.2,560.65,541.08,559.5,5566553,0,1,542.2,560.65,541.08,559.5,5566553,-0.011724754
23-02-2016,555.55,556.91,545.33,552.94,4050790,0,1,555.55,556.91,545.33,552.94,4050790,0.001989366
24-02-2016,545.75,554.27,533.1501,554.04,6231668,0,1,545.75,554.27,533.1501,554.04,6231668,0.002003465
25-02-2016,555.52,559.39,545.2946,555.15,4525463,0,1,555.52,559.39,545.2946,555.15,4525463,0.000144105
26-02-2016,560.12,562.5,553.17,555.23,4877039,0,1,560.12,562.5,553.17,555.23,4877039,-0.00488086
29-02-2016,554,564.81,552.51,552.52,4145396,0,1,554,564.81,552.51,552.52,4145396,0.047998263
01-03-2016,556.29,579.25,556,579.04,5038452,0,1,556.29,579.25,556,579.04,5038452,0.002020586
02-03-2016,581.75,585,573.7,580.21,4582170,0,1,581.75,585,573.7,580.21,4582170,-0.004687958
03-03-2016,577.96,579.866,573.11,577.49,2741292,0,1,577.96,579.866,573.11,577.49,2741292,-0.004069335
04-03-2016,581.07,581.4,571.065,575.14,3416545,0,1,581.07,581.4,571.065,575.14,3416545,-0.021455646
07-03-2016,573.54,573.63,555.55,562.8,4932527,0,1,573.54,573.63,555.55,562.8,4932527,-0.004513149
08-03-2016,557.87,571.35,554.74,560.26,4679663,0,1,557.87,571.35,554.74,560.26,4679663,-0.00141006
09-03-2016,559.56,560.35,550.125,559.47,4377283,0,1,559.56,560.35,550.125,559.47,4377283,-0.000965199
10-03-2016,566.74,567,547.9,558.93,3919892,0,1,566.74,567,547.9,558.93,3919892,0.019107938
11-03-2016,566.95,570.06,562.73,569.61,3771310,0,1,566.95,570.06,562.73,569.61,3771310,0.006601008
14-03-2016,567,576.89,563.05,573.37,3454152,0,1,567,576.89,563.05,573.37,3454152,0.006365872
15-03-2016,571,581.52,567,577.02,3876821,0,1,571,581.52,567,577.02,3876821,-0.004765866
16-03-2016,576.64,581.32,571.14,574.27,3537669,0,1,576.64,581.32,571.14,574.27,3537669,-0.02582409
17-03-2016,569.51,571.4,555.01,559.44,5928105,0,1,569.51,571.4,555.01,559.44,5928105,-0.013156013
18-03-2016,560.94,562.33,546.09,552.08,7296885,0,1,560.94,562.33,546.09,552.08,7296885,0.00344153
21-03-2016,548.91,555.24,538.58,553.98,5155732,0,1,548.91,555.24,538.58,553.98,5155732,0.011733276
22-03-2016,545.11,562.76,545.05,560.48,4000564,0,1,545.11,562.76,545.05,560.48,4000564,0.016325293
23-03-2016,561,572.48,558.1,569.63,3983720,0,1,561,572.48,558.1,569.63,3983720,0.0233836
24-03-2016,567.11,583.55,567.08,582.95,5185539,0,1,567.11,583.55,567.08,582.95,5185539,-0.005283472
28-03-2016,584.4,584.75,575.56,579.87,3121522,0,1,584.4,584.75,575.56,579.87,3121522,0.024126097
29-03-2016,580.15,595.85,576.5,593.86,4392567,0,1,580.15,595.85,576.5,593.86,4392567,0.00813323
30-03-2016,596.71,603.24,595,598.69,3890461,0,1,596.71,603.24,595,598.69,3890461,-0.008435083
31-03-2016,599.28,600.75,592.21,593.64,2681811,0,1,599.28,600.75,592.21,593.64,2681811,0.00818678
01-04-2016,590.49,599.03,588.3,598.5,2917386,0,1,590.49,599.03,588.3,598.5,2917386,-0.00887218
04-04-2016,599,599.5,590.55,593.19,2470825,0,1,599,599.5,590.55,593.19,2470825,-0.011884894
05-04-2016,590.77,593.47,585.25,586.14,2308884,0,1,590.77,593.47,585.25,586.14,2308884,0.027194868
06-04-2016,587.52,602.39,587.5,602.08,2849909,0,1,587.52,602.39,587.5,602.08,2849909,-0.017688679
07-04-2016,598.76,599.6,589.08,591.43,3189037,0,1,598.76,599.6,589.08,591.43,3189037,0.00535989
08-04-2016,594.32,597.86,589,594.6,2591936,0,1,594.32,597.86,589,594.6,2591936,0.002236798
11-04-2016,596.14,604,594.91,595.93,2704267,0,1,596.14,604,594.91,595.93,2704267,0.012149078
12-04-2016,598.4,604.06,592.31,603.17,2641062,0,1,598.4,604.06,592.31,603.17,2641062,0.019314621
13-04-2016,607.68,616.81,605.29,614.82,4228349,0,1,607.68,616.81,605.29,614.82,4228349,0.009645099
14-04-2016,615.07,624.38,615.07,620.75,3512136,0,1,615.07,624.38,615.07,620.75,3512136,0.008280306
15-04-2016,621.92,626.77,618.11,625.89,2887681,0,1,621.92,626.77,618.11,625.89,2887681,0.015114477
